times;k
1;1
49;65
66;129
82;193
83;257
98;321
104;385
125;449
104;513
117;577
128;641
106;705
120;769
128;833
139;897
144;961
99;1025
169;1089
149;1153
138;1217
123;1281
139;1345
162;1409
168;1473
115;1537
112;1601
143;1665
170;1729
102;1793
159;1857
147;1921
134;1985
