times;k
1;1
35;65
48;129
47;193
50;257
60;321
58;385
61;449
66;513
67;577
51;641
46;705
49;769
49;833
59;897
67;961
55;1025
45;1089
53;1153
50;1217
74;1281
68;1345
53;1409
67;1473
51;1537
50;1601
50;1665
67;1729
70;1793
58;1857
57;1921
67;1985
