times;k
1;1
10;65
10;129
10;193
10;257
10;321
10;385
10;449
10;513
10;577
10;641
10;705
10;769
10;833
10;897
10;961
10;1025
10;1089
10;1153
10;1217
10;1281
10;1345
10;1409
10;1473
10;1537
10;1601
10;1665
10;1729
10;1793
10;1857
10;1921
10;1985
