times;k
1;1
52;65
70;129
83;193
97;257
105;321
117;385
127;449
129;513
136;577
145;641
150;705
161;769
165;833
158;897
167;961
176;1025
190;1089
186;1153
188;1217
199;1281
206;1345
202;1409
207;1473
208;1537
220;1601
227;1665
229;1729
226;1793
231;1857
243;1921
251;1985
