times;k
1;1
502;65
924;129
1518;193
1635;257
2772;321
3356;385
3667;449
4475;513
4682;577
5582;641
6172;705
6955;769
7588;833
7075;897
8836;961
8908;1025
9846;1089
10679;1153
10377;1217
11442;1281
9183;1345
13144;1409
13499;1473
14472;1537
14611;1601
14611;1665
15871;1729
16000;1793
17203;1857
14064;1921
18042;1985
