times;k
1;1
490;65
1028;129
1519;193
2181;257
2500;321
3124;385
3891;449
4399;513
4923;577
5465;641
6355;705
6708;769
6159;833
7154;897
8793;961
8994;1025
9768;1089
9616;1153
11188;1217
11564;1281
12176;1345
12602;1409
13394;1473
12926;1537
14183;1601
15748;1665
15988;1729
16448;1793
17360;1857
17081;1921
17808;1985
