left;right
-0.5;0.5
-2.5e-07;0.5
-2.5e-07;0.250000125
-2.5e-07;0.1250001875
0.06249971875;0.1250001875
0.093749703125;0.1250001875
0.1093746953125;0.1250001875
0.1093746953125;0.11718769140625
0.1093746953125;0.113281443359375
0.1093746953125;0.111328319335937
0.1093746953125;0.110351757324219
0.1093746953125;0.109863476318359
0.10961883581543;0.109863476318359
0.109740906066895;0.109863476318359
0.109801941192627;0.109863476318359
0.109832458755493;0.109863476318359
0.109847717536926;0.109863476318359
0.109855346927643;0.109863476318359
0.109859161623001;0.109863476318359
0.109859161623001;0.10986156897068
0.109859161623001;0.109860615296841
