times;k
130;1
187;65
365;129
607;193
729;257
909;321
1092;385
1265;449
1421;513
1619;577
1811;641
1975;705
2163;769
2341;833
2515;897
2697;961
2869;1025
3045;1089
3255;1153
3423;1217
3601;1281
3785;1345
3941;1409
4251;1473
4303;1537
4519;1601
4675;1665
4849;1729
5047;1793
5242;1857
5321;1921
5559;1985
