times;k
114;1
163;65
365;129
521;193
722;257
895;321
1091;385
1267;449
1448;513
1663;577
1812;641
1992;705
2143;769
2327;833
2530;897
2681;961
2877;1025
3039;1089
3209;1153
3076;1217
3562;1281
3713;1345
3687;1409
4089;1473
4307;1537
4489;1601
4341;1665
4827;1729
4979;1793
5217;1857
5420;1921
5580;1985
