times;k
138;1
223;65
391;129
585;193
739;257
965;321
1087;385
1287;449
1507;513
1621;577
1803;641
2127;705
2165;769
2343;833
2517;897
2707;961
3039;1025
3229;1089
3251;1153
3525;1217
3595;1281
3765;1345
3957;1409
4127;1473
4831;1537
4491;1601
4677;1665
4865;1729
5037;1793
5209;1857
5679;1921
5567;1985
