50;1.2560898e+13;6.0626923e+10
100;1.360781e+14;2.3394036e+11
150;2.2279955e+14;2.0901265e+11
200;3.4688021e+14;2.1162645e+11
250;1.3951441e+15;6.0949335e+11
300;2.5130785e+15;8.3560413e+11
350;4.0777013e+15;1.0763275e+12
400;2.5912254e+15;5.5996692e+11
450;5.1133964e+15;9.2624987e+11
500;3.0803962e+15;4.7649823e+11
550;1.167387e+16;1.5654517e+12
600;5.7802298e+15;6.8035622e+11
650;3.3308616e+15;3.4773339e+11
700;2.9017347e+15;2.7108546e+11
750;1.2273983e+16;1.0339992e+12
800;6.1473383e+15;4.7011685e+11
850;5.9465271e+15;4.1525286e+11
900;5.8766032e+15;3.7667039e+11
950;5.8533476e+15;3.4596871e+11
1000;2.0737725e+16;1.1350007e+12
