50;5407978.2;26102.361
100;19669092;33814.363
150;1.0597894e+09;994209.38
200;3.1300338e+09;1909586.9
250;1.067865e+09;466515.69
300;3.2995668e+10;10971132
350;1.9462783e+10;5137288.8
400;1.4052271e+11;30367128
450;1.0746032e+09;194655.57
500;1.5910154e+11;24610991
550;7.0118504e+11;94028057
600;1.0043058e+10;1182108.2
650;2.928279e+10;3057048
700;6.8614875e+11;64101295
750;2.4503145e+12;2.0642225e+08
800;1.612562e+10;1233204.6
850;5.5938732e+10;3906266.2
900;2.136423e+11;13693749
950;4.8746818e+11;28812356
1000;9.4437375e+11;51686717
